name,userid,email,password,faculty,points,registered_camps,camp_committee_of
CHERN,YCHERN,YCHERN@e.ntu.edu.sg,ychern1,SCSE,0,N/A,N/A
KOH,KOH1,KOH1@e.ntu.edu.sg,Password123!,ADM,0,N/A,N/A
BRANDON,BR015,BR015@e.ntu.edu.sg,Password45!,EEE,0,N/A,N/A
CALVIN,CT113,CT113@e.ntu.edu.sg,Broisthebest1!,SCSE,0,N/A,N/A
CHAN,YCN019,YCN019@e.ntu.edu.sg,password,NBS,0,N/A,N/A
DENISE,DL007,DL007@e.ntu.edu.sg,password,SCSE,0,N/A,N/A
DONG,DON84,DON84@e.ntu.edu.sg,password,ADM,0,N/A,N/A
ERNEST,ELI34,ELI34@e.ntu.edu.sg,password,EEE,0,N/A,N/A
LEE,LE51,LE51@e.ntu.edu.sg,Password123!,SCSE,0,N/A,N/A
LIU,SL22,SL22@e.ntu.edu.sg,Password123!,NBS,0,N/A,N/A
RAWAL,AKY013,AKY013@e.ntu.edu.sg,password,SSS,0,N/A,N/A
